,id,text
0,1540028129980420096,.@LieutenantDans7's last 3 ABs have all resulted in a HR! 😳 https://t.co/u5G0E5v7wG
1,1540023915770220547,".@FreddieFreeman5 is heating up!

He's 10 for his last 19. https://t.co/WvEdyxmAzb"
2,1540022370110423043,"RT @MLBTV: Clayton Kershaw and the @Dodgers lead Cincinnati in a matinee game.

See how it all unfolds on #MLBTV now for FREE pres. by @Spo…"
3,1540019869386670081,The Greatest Shoman. https://t.co/Vn6y27XEm1
4,1540011926733864963,"#PitchersWhoRake: King Felix edition
 
OTD in 2008, Félix Hernández hit a grand slam off Johan Santana. 

(MLB x @DairyQueen) https://t.co/H0dSatRx2p"
5,1540011433236353026,"RT @Braves: Vote Dansby! 

https://t.co/DZR0ZYbjhX | @LieutenantDans7 https://t.co/VB2XJQuR1C"
6,1539996714345660418,Vote here: https://t.co/N7NCPYdQje
7,1539996611270549508,"Only the top 2 at 2B are going to move on.

Who are you voting for? https://t.co/NMASrMu25p"
8,1539991972500348928,"Enjoy The Potential, Enjoy The Show."
9,1539991807999807491,"Enjoy The Potential, Enjoy The Show."
10,1539991612532703234,"Enjoy The Potential, Enjoy The Show."
11,1539991240191639552,"RT @MLBPipeline: Here's the latest mock, featuring a new No. 1 -- who would be a historic selection: https://t.co/VRwoOpnr7Q https://t.co/Q…"
12,1539991127859798016,"Enjoy The Dances, Enjoy The Show."
13,1539990901623296000,"Enjoy The Dances, Enjoy The Show."
14,1539990693065756673,"Enjoy The Dances, Enjoy The Show."
15,1539989569256423425,"Enjoy The Future, Enjoy The Show."
16,1539989254201384962,"Enjoy The Future, Enjoy The Show."
17,1539988416158437383,"Enjoy The Future, Enjoy The Show."
18,1539986750201905159,"RT @MLBPicks: Shohei Ohtani's one of a kind. 🔥

(MLB Picks x @DraftKings) https://t.co/JUbFRLlafS"
19,1539843998986149888,How many homers? 🤔 https://t.co/fUdMu7NPEv
20,1539841352732647424,What a Sho. 🔥 https://t.co/uHP5DODBNT
21,1539840096828116992,A masterpiece from Shohei Ohtani. https://t.co/kSxUfALvbq
22,1539832584737284098,"RT @Cut4: yep, we have a first timer with Sheldon Neuse as a

(•_•)
&lt;)   )╯POSITION
/    \
\(•_•)
(   (&gt; PLAYER
/    \
(•_•)
&lt;)   )&gt; PITCHI…"
23,1539831851841363968,"A career-high 8 RBI last night and a career-high 13 Ks tonight. 

Unbelievable, Shohei Ohtani. https://t.co/xqgwHugbaZ"
24,1539825542475780106,The Sho goes on. https://t.co/vTZiRZ89xJ
25,1539825000202571777,A dozen for Ohtani! https://t.co/wNdgEnzaj2
26,1539823048651640832,"RT @SlangsOnSports: SHOHEI OHTANI

8 RBI yesterday
10 strikeouts today

He's the 1st player since RBI became official (1920) with 8+ RBI &amp;…"
27,1539815665690869761,"17 wins in 21 games. 7 straight series wins. The @CleGuardians can't be stopped right now!

(MLB x @coronausa) https://t.co/IOauFsSKSa"
28,1539812946791919617,10 Ks already. Shohei's looking SHARP. https://t.co/ihQexXPiFK
29,1539811023007383553,"RT @MLBNetwork: You’ve gotta see this 🎥 angle of tonight’s @Braves walkoff 🔥 

NTT #BallparkCam | #ForTheA | @BlooperBraves https://t.co/Xr…"
30,1539808462636568576,RT @Cut4: That's a fan ladies and gentlemen https://t.co/OXbXzhZ1Cp
31,1539802633032146944,@ChudTheBud @JRODshow44 true stolen bases
32,1539802131678519296,.@JRODshow44 will end the season with ____ stolen bases. 🏃‍♂️💨 https://t.co/2LcoirbRZE
33,1539799928951783424,"A cycle in just FOUR ABs for Austin Hays. 🤯

(MLB x @HankookTireUSA) https://t.co/tSWXbxGR4H"
34,1539797098861940736,Comeback complete! #Walkoff https://t.co/ihQl2JTYjo
35,1539795108710780928,🚨 AUSTIN HAYS CYCLE 🚨 https://t.co/y9cjNmxQLR
36,1539793765606506496,.@HipHipJose5 does it again! https://t.co/HOqkH6Inyp
37,1539792097041154049,"Go ahead, Nolan! 

(MLB x @oriswatches) https://t.co/7RuRmcdIvv"
38,1539789125783625736,"RT @SFGiants: 🔟 swings, 🔟 misses @Carlos_Rodon55 https://t.co/lwtHavcpfa"
39,1539788406758187020,"RT @Cut4: This is not the first time in his career Diego Castillo is up as a

(•_•)
&lt;)   )╯POSITION
/    \
\(•_•)
(   (&gt; PLAYER
/    \
(•_•…"
40,1539787487417192449,RT @Cut4: Another Trea Turner smooth slide https://t.co/mIzmHX1nd2
41,1539784803976974336,2⃣7⃣ https://t.co/c2eiIfBNgJ
42,1539783681606406144,#AllRise again. 😱 https://t.co/uqCoaVtSbl
43,1539778269263839232,"Oh my, @j_chisholm3. 😳 https://t.co/u43xeOuY7s"
44,1539777435989843969,"Giancarlo has a CANNON. 

Powered by @Mitel https://t.co/EJlORW6tZf"
45,1539775820302106629,Freddie for the lead! https://t.co/FFw3mpyRkk
46,1539769865258557441,"2 ABs, 2 HR for @TeamCJCorrea! 😱 https://t.co/XDThQmsMub"
47,1539765369673551873,Goldy got all of it. 💪 https://t.co/Vr2E8fNhJS
48,1539763779143176194,You gotta get angry! You gotta get mean! 😂 https://t.co/7DU5LbdqSo
49,1539761775880667136,No. 26 for MLB's HR leader. https://t.co/8DcCfnLDFA
50,1539760692370325504,".@TeamCJCorrea left no doubt. 🚀

(MLB x @FTX_Official) https://t.co/TaRimb8M7m"
51,1539756677251186690,RT @RaysBaseball: We're Bruján up a few more runs https://t.co/V8mwrZqAkA
52,1539755227695513600,4 HR in 2 games! Isaac Paredes is on fire. 😱 https://t.co/qJrIZ7p880
